FilePath,PackingType,Emoji1,Emoji2,Emoji3,Emoji4,Emoji5,Emoji6,Emoji7,Emoji8
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,cci,carrot,candle,babybottle,bomb,bison,cactus,cheesewedge,anchor
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_002.png,ccis,chesspawn,clownface,droplet,dogface,dragon,anchor,deciduoustree,drunkperson
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_003.png,ccib,fourleafclover,fire,anchor,ghost,greenapple,grinningcatwithsmilingeyes,eye,hammer
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_004.png,cci,handwithfingerssplayed,anchor,highheeledshoe,key,highvoltage,ice,heart,ladybeetle
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_005.png,ccic,lastquartermoonface,mapleleaf,lightbulb,microbe,locked,mountfuji,mouth,anchor
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_006.png,ccic,oncomingpolicecar,musicalscore,pencil,scissors,redexclamationmark,anchor,redquestionmark,rosette
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_007.png,ccib,anchor,spoutingwhale,snowflake,spider,spiderweb,stopsign,snowmanwithoutsnow,skullandcrossbones
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_008.png,ccib,twitter,timer,turtle,trex,sunglasses,sunwithface,anchor,yinyang
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_009.png,ccis,sunglasses,babybottle,eye,musicalscore,handwithfingerssplayed,chesspawn,lastquartermoonface,skullandcrossbones
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_010.png,ccir,lightbulb,oncomingpolicecar,heart,clownface,snowflake,fire,sunwithface,babybottle
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_011.png,ccib,fourleafclover,timer,pencil,snowmanwithoutsnow,locked,deciduoustree,babybottle,highheeledshoe
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_012.png,ccic,highvoltage,babybottle,spider,redexclamationmark,ghost,mapleleaf,trex,dogface
