FilePath,PackingType,Emoji1,Emoji2,Emoji3,Emoji4,Emoji5,Emoji6,Emoji7,Emoji8
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,ccib,carrot,bison,anchor,bomb,babybottle,cheesewedge,cactus,candle
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_002.png,ccis,dragon,anchor,drunkperson,dogface,chesspawn,droplet,deciduoustree,clownface
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_003.png,ccis,greenapple,anchor,eye,hammer,fire,fourleafclover,grinningcatwithsmilingeyes,ghost
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_004.png,ccir,handwithfingerssplayed,heart,highheeledshoe,key,ladybeetle,anchor,ice,highvoltage
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_005.png,ccic,lightbulb,mapleleaf,lastquartermoonface,locked,anchor,microbe,mouth,mountfuji
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_006.png,ccic,anchor,redexclamationmark,oncomingpolicecar,rosette,pencil,musicalscore,redquestionmark,scissors
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_007.png,ccis,snowmanwithoutsnow,spider,skullandcrossbones,snowflake,stopsign,spoutingwhale,anchor,spiderweb
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_008.png,ccir,timer,anchor,sunglasses,trex,turtle,sunwithface,twitter,yinyang
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_009.png,ccib,eye,skullandcrossbones,musicalscore,sunglasses,babybottle,chesspawn,handwithfingerssplayed,lastquartermoonface
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_010.png,ccib,fire,snowflake,sunwithface,clownface,lightbulb,heart,oncomingpolicecar,babybottle
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_011.png,cci,highheeledshoe,deciduoustree,timer,babybottle,snowmanwithoutsnow,locked,pencil,fourleafclover
