EmojiName,EmojiLabel
anchor,0
baby-bottle,1
bison,2
bomb,3
cactus,4
candle,5
carrot,6
cheese-wedge,7
chess-pawn,8
clown-face,9
deciduous-tree,10
dog-face,11
dragon,12
droplet,13
drunk-person,14
eye,15
fire,16
four-leaf-clover,17
ghost,18
green-apple,19
grinning-cat-with-smiling-eyes,20
hammer,21
hand-with-fingers-splayed,22
heart,23
high-heeled-shoe,24
high-voltage,25
ice,26
key,27
lady-beetle,28
last-quarter-moon-face,29
light-bulb,30
locked,31
maple-leaf,32
microbe,33
mount-fuji,34
mouth,35
musical-score,36
oncoming-police-car,37
pencil,38
red-exclamation-mark,39
red-question-mark,40
rosette,41
scissors,42
skull-and-crossbones,43
snowflake,44
snowman-without-snow,45
spider,46
spider-web,47
spouting-whale,48
stop-sign,49
sun-with-face,50
sunglasses,51
t-rex,52
timer,53
turtle,54
twitter,55
yin-yang,56
