FilePath,PackingType,Emoji1,Emoji2,Emoji3,Emoji4,Emoji5,Emoji6,Emoji7,Emoji8
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,cci,cactus,babybottle,candle,bison,cheesewedge,carrot,anchor,bomb
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,ccib,chesspawn,droplet,deciduoustree,dogface,drunkperson,clownface,anchor,dragon
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,ccic,grinningcatwithsmilingeyes,fourleafclover,eye,greenapple,ghost,fire,hammer,anchor
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,ccir,handwithfingerssplayed,key,ice,highvoltage,heart,ladybeetle,anchor,highheeledshoe
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_005.png,ccic,locked,microbe,lastquartermoonface,mapleleaf,mouth,lightbulb,mountfuji,anchor
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_006.png,ccic,redquestionmark,redexclamationmark,anchor,pencil,oncomingpolicecar,musicalscore,scissors,rosette
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_007.png,ccir,spiderweb,skullandcrossbones,spoutingwhale,snowflake,stopsign,anchor,spider,snowmanwithoutsnow
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_008.png,ccir,sunwithface,anchor,turtle,sunglasses,yinyang,trex,timer,twitter
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_009.png,ccis,handwithfingerssplayed,babybottle,sunglasses,musicalscore,lastquartermoonface,chesspawn,skullandcrossbones,eye
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_010.png,ccir,heart,sunwithface,lightbulb,fire,oncomingpolicecar,babybottle,snowflake,clownface
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_011.png,ccis,highheeledshoe,timer,snowmanwithoutsnow,deciduoustree,pencil,babybottle,fourleafclover,locked
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_012.png,ccir,trex,redexclamationmark,babybottle,highvoltage,mapleleaf,ghost,dogface,spider
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_013.png,ccis,greenapple,spiderweb,redquestionmark,babybottle,ice,dragon,microbe,turtle
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_014.png,ccic,droplet,grinningcatwithsmilingeyes,twitter,spoutingwhale,babybottle,mountfuji,rosette,key
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_015.png,ccis,mouth,scissors,babybottle,ladybeetle,drunkperson,yinyang,stopsign,hammer
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_016.png,ccir,mapleleaf,chesspawn,fire,bison,redquestionmark,highheeledshoe,yinyang,spoutingwhale
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_017.png,ccic,sunglasses,clownface,bison,rosette,microbe,stopsign,fourleafclover,highvoltage
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_018.png,ccir,scissors,sunwithface,ghost,ice,skullandcrossbones,mountfuji,bison,deciduoustree
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_019.png,ccic,musicalscore,greenapple,key,timer,bison,mouth,snowflake,dogface
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_020.png,ccis,ladybeetle,trex,bison,snowmanwithoutsnow,grinningcatwithsmilingeyes,lastquartermoonface,dragon,oncomingpolicecar
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_021.png,ccis,handwithfingerssplayed,droplet,pencil,spider,hammer,turtle,bison,lightbulb
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_022.png,cci,twitter,bison,heart,redexclamationmark,spiderweb,drunkperson,locked,eye
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_023.png,cci,twitter,bomb,chesspawn,mouth,ice,fourleafclover,spider,oncomingpolicecar
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_024.png,ccic,yinyang,bomb,lastquartermoonface,spiderweb,pencil,key,clownface,ghost
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_025.png,ccib,spoutingwhale,greenapple,deciduoustree,ladybeetle,redexclamationmark,bomb,lightbulb,sunglasses
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_026.png,ccir,sunwithface,grinningcatwithsmilingeyes,locked,bomb,handwithfingerssplayed,redquestionmark,dogface,stopsign
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_027.png,ccic,hammer,timer,skullandcrossbones,heart,rosette,bomb,dragon,mapleleaf
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_028.png,ccir,eye,trex,scissors,bomb,microbe,snowflake,droplet,highheeledshoe
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_029.png,ccis,snowmanwithoutsnow,mountfuji,bomb,fire,drunkperson,musicalscore,turtle,highvoltage
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_030.png,cci,chesspawn,ladybeetle,rosette,snowflake,ghost,cactus,turtle,locked
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_031.png,ccib,cactus,clownface,greenapple,handwithfingerssplayed,scissors,twitter,mapleleaf,snowmanwithoutsnow
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_032.png,ccib,microbe,yinyang,musicalscore,cactus,grinningcatwithsmilingeyes,heart,deciduoustree,spider
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_033.png,ccir,mountfuji,dogface,sunglasses,highheeledshoe,hammer,oncomingpolicecar,cactus,spiderweb
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_034.png,ccir,pencil,highvoltage,dragon,eye,mouth,sunwithface,cactus,spoutingwhale
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_035.png,ccib,droplet,fire,lastquartermoonface,ice,redexclamationmark,cactus,stopsign,timer
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_036.png,ccir,cactus,fourleafclover,redquestionmark,lightbulb,skullandcrossbones,trex,drunkperson,key
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_037.png,ccic,trex,greenapple,candle,pencil,mountfuji,stopsign,heart,chesspawn
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_038.png,cci,turtle,skullandcrossbones,redexclamationmark,clownface,candle,grinningcatwithsmilingeyes,mouth,highheeledshoe
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_039.png,ccis,candle,deciduoustree,twitter,lastquartermoonface,redquestionmark,highvoltage,snowflake,hammer
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_040.png,ccic,snowmanwithoutsnow,yinyang,dogface,rosette,candle,lightbulb,eye,ice
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_041.png,cci,fire,key,scissors,sunglasses,dragon,candle,spider,locked
