Card1Path,Card2Path,CommonEmoji,Card1Quadrant,Card2Quadrant
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,1,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,1,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,1,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,2,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,2,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,2,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,3,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,3,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,3,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,4,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,4,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png,anchor,4,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,1,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,1,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,1,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,2,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,2,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,2,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,3,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,3,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,3,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,4,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,4,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png,anchor,4,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,1,2
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,1,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,1,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,2,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,2,3
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,2,4
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,3,1
dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png,dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png,anchor,3,2
