CardNr;FilePath;PackingType;Emoji1;Emoji2;Emoji3;Emoji4;Emoji5;Emoji6;Emoji7;Emoji8
001;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_001.png;ccic;bison;cheesewedge;candle;cactus;bomb;anchor;babybottle;carrot
002;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_002.png;ccib;dogface;droplet;deciduoustree;clownface;drunkperson;anchor;chesspawn;dragon
003;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_003.png;ccis;hammer;greenapple;ghost;grinningcatwithsmilingeyes;fourleafclover;eye;fire;anchor
004;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_004.png;ccir;handwithfingerssplayed;anchor;ladybeetle;highheeledshoe;ice;highvoltage;key;heart
005;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_005.png;ccic;mouth;locked;lightbulb;microbe;mapleleaf;mountfuji;anchor;lastquartermoonface
006;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_006.png;ccir;musicalscore;pencil;anchor;redexclamationmark;scissors;oncomingpolicecar;redquestionmark;rosette
007;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_007.png;ccic;snowflake;spider;stopsign;skullandcrossbones;snowmanwithoutsnow;spoutingwhale;anchor;spiderweb
008;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_008.png;ccic;turtle;twitter;sunwithface;trex;yinyang;sunglasses;anchor;timer
009;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_009.png;ccic;lastquartermoonface;chesspawn;sunglasses;babybottle;handwithfingerssplayed;skullandcrossbones;musicalscore;eye
010;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_010.png;ccis;oncomingpolicecar;heart;clownface;sunwithface;babybottle;fire;lightbulb;snowflake
011;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_011.png;ccib;pencil;deciduoustree;locked;highheeledshoe;fourleafclover;babybottle;timer;snowmanwithoutsnow
012;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_012.png;ccir;babybottle;highvoltage;spider;dogface;redexclamationmark;mapleleaf;trex;ghost
013;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_013.png;cci;babybottle;greenapple;spiderweb;redquestionmark;microbe;ice;turtle;dragon
014;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_014.png;ccir;spoutingwhale;twitter;droplet;grinningcatwithsmilingeyes;babybottle;mountfuji;rosette;key
015;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_015.png;ccib;mouth;ladybeetle;hammer;stopsign;yinyang;babybottle;drunkperson;scissors
016;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_016.png;ccib;redquestionmark;bison;fire;mapleleaf;spoutingwhale;chesspawn;highheeledshoe;yinyang
017;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_017.png;ccir;microbe;rosette;highvoltage;clownface;sunglasses;bison;fourleafclover;stopsign
