CardNr;FilePath;PackingType;Emoji1;Emoji2;Emoji3;Emoji4;Emoji5;Emoji6;Emoji7;Emoji8
001;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_001.png;ccis;anchor;candle;babybottle;cactus;bison;cheesewedge;bomb;carrot
002;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_002.png;ccic;dogface;dragon;deciduoustree;clownface;chesspawn;anchor;drunkperson;droplet
003;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_003.png;cci;fire;ghost;greenapple;eye;grinningcatwithsmilingeyes;hammer;fourleafclover;anchor
004;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_004.png;ccir;ladybeetle;highheeledshoe;anchor;handwithfingerssplayed;key;ice;heart;highvoltage
005;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_005.png;ccis;locked;lastquartermoonface;lightbulb;mouth;microbe;mountfuji;mapleleaf;anchor
006;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_006.png;ccir;redquestionmark;oncomingpolicecar;anchor;redexclamationmark;musicalscore;scissors;pencil;rosette
007;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_007.png;ccic;stopsign;spiderweb;spoutingwhale;anchor;snowflake;skullandcrossbones;spider;snowmanwithoutsnow
008;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_008.png;ccic;sunglasses;yinyang;anchor;timer;twitter;turtle;sunwithface;trex
009;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_009.png;ccic;lastquartermoonface;babybottle;eye;chesspawn;handwithfingerssplayed;sunglasses;musicalscore;skullandcrossbones
010;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_010.png;ccic;babybottle;heart;oncomingpolicecar;clownface;lightbulb;snowflake;sunwithface;fire
011;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_011.png;ccir;locked;timer;highheeledshoe;babybottle;deciduoustree;pencil;fourleafclover;snowmanwithoutsnow
012;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_012.png;ccir;trex;dogface;ghost;mapleleaf;highvoltage;spider;babybottle;redexclamationmark
013;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_013.png;ccic;greenapple;turtle;spiderweb;dragon;microbe;ice;babybottle;redquestionmark
014;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_014.png;ccic;key;grinningcatwithsmilingeyes;mountfuji;babybottle;rosette;twitter;spoutingwhale;droplet
015;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_015.png;cci;scissors;mouth;babybottle;yinyang;stopsign;drunkperson;ladybeetle;hammer
016;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_016.png;ccic;redquestionmark;highheeledshoe;fire;yinyang;chesspawn;mapleleaf;bison;spoutingwhale
017;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_017.png;ccic;fourleafclover;highvoltage;rosette;bison;sunglasses;clownface;stopsign;microbe
018;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_018.png;ccib;bison;deciduoustree;sunwithface;mountfuji;scissors;ghost;ice;skullandcrossbones
019;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_019.png;ccib;snowflake;greenapple;mouth;key;bison;timer;musicalscore;dogface
020;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_020.png;ccir;grinningcatwithsmilingeyes;snowmanwithoutsnow;bison;ladybeetle;dragon;lastquartermoonface;oncomingpolicecar;trex
021;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_021.png;ccir;handwithfingerssplayed;turtle;pencil;bison;lightbulb;spider;droplet;hammer
022;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_022.png;ccir;twitter;drunkperson;eye;locked;heart;redexclamationmark;bison;spiderweb
023;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_023.png;cci;spider;mouth;twitter;oncomingpolicecar;chesspawn;bomb;ice;fourleafclover
024;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_024.png;ccib;clownface;spiderweb;lastquartermoonface;key;pencil;bomb;ghost;yinyang
025;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_025.png;ccir;ladybeetle;lightbulb;greenapple;spoutingwhale;sunglasses;deciduoustree;bomb;redexclamationmark
026;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_026.png;ccir;locked;grinningcatwithsmilingeyes;bomb;sunwithface;stopsign;redquestionmark;dogface;handwithfingerssplayed
027;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_027.png;ccic;dragon;bomb;hammer;timer;rosette;skullandcrossbones;mapleleaf;heart
028;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_028.png;cci;microbe;scissors;eye;snowflake;droplet;highheeledshoe;bomb;trex
029;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_029.png;ccir;drunkperson;mountfuji;snowmanwithoutsnow;musicalscore;highvoltage;turtle;bomb;fire
030;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_030.png;cci;locked;cactus;ghost;turtle;snowflake;ladybeetle;chesspawn;rosette
031;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_031.png;ccir;snowmanwithoutsnow;handwithfingerssplayed;greenapple;clownface;twitter;mapleleaf;scissors;cactus
032;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_032.png;ccib;yinyang;heart;musicalscore;deciduoustree;spider;cactus;microbe;grinningcatwithsmilingeyes
033;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_033.png;ccic;hammer;cactus;oncomingpolicecar;highheeledshoe;mountfuji;spiderweb;sunglasses;dogface
034;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_034.png;ccis;spoutingwhale;sunwithface;cactus;mouth;highvoltage;dragon;pencil;eye
